"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"W12001-2","691","Ltd Edition - Dialogue","2","0.00","13.5” x 5”","19.25” x 10.875”","99","","1873","135.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"W12001-2","691","Ltd Edition - Dialogue","0","0.00","13.5” x 5”","19.25” x 10.875”","99","","1874","305.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12001-2","691","Ltd Edition - Dialogue","0","0.00","13.5” x 5”","19.25” x 10.875”","99","","1875","305.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12001-2","691","Ltd Edition - Dialogue","0","0.00","13.5” x 5”","19.25” x 10.875”","99","","1876","305.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12014-2","692","Ltd Edition - Gate of Silk","4","0.00","13.25"" x 10.25""","20"" x 16""","99","","1737","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"W12014-2","692","Ltd Edition - Gate of Silk","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1738","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12014-2","692","Ltd Edition - Gate of Silk","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1739","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12014-2","692","Ltd Edition - Gate of Silk","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1740","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","1741","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1742","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1743","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1744","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01003-2","699","Ltd Edition - Sky Girl","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","1641","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A01003-2","699","Ltd Edition - Sky Girl","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1642","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01003-2","699","Ltd Edition - Sky Girl","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1643","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01003-2","699","Ltd Edition - Sky Girl","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1644","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A09054-2","701","Ltd Edition - Tranquility","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","1645","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A09054-2","701","Ltd Edition - Tranquility","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1646","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A09054-2","701","Ltd Edition - Tranquility","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1647","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A09054-2","701","Ltd Edition - Tranquility","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1648","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16055-2","702","Ltd Edition - Abundance","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","1649","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
