"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"ES100-MIX","12976","ES100-MIX Earrings","","5","19.95"
"RRN-135-P","12992","RRN-135 Pendant ""River Rock""","","2","12.95"
"VN-18-P","12994","VN-18 Pendant ""Vintage""","","12","22.95"
"DC14-P","12996","DC14 Pendant","","10","12.95"
"BB4-P","12999","BB4 Pendant ""Birch Bark""","","6","12.95"
"BB6-P","13000","BB6 Pendant ""Birch Bark""","","8","15.95"
"BB8-P","13004","BB8 Pendant ""Birch Bark""","","7","10.95"
"BB1-P","13005","BB1 Pendant ""Birch Bark""","","6","11.95"
"DC1421-P","13006","DC1421 Pendant","","5","11.95"
"DC1417-P","13007","DC1417 Pendant","","8","11.95"
"DC1420-P","13010","DC1420 Pendant","","7","14.95"
"DC1005-P","13011","DC1005 Pendant","","5","10.95"
"DC1006-P","13012","DC1006 Pendant","","4","10.95"
"DC23","13013","DC23 Earrings","","3","15.95"
"DC24","13017","DC24 Earrings","","5","15.95"
"Knecklaces","13018","Necklaces","9724","0","6.00"
"Knecklaces","13018","Necklaces","9725","1","8.00"
"Knecklaces","13018","Necklaces","9726","1","10.00"
"Knecklaces","13018","Necklaces","9727","1","12.00"
"Knecklaces","13018","Necklaces","9728","1","14.00"
"Knecklaces","13018","Necklaces","9729","1","16.00"
"Knecklaces","13018","Necklaces","9730","6","18.00"
"Knecklaces","13018","Necklaces","9731","7","20.00"
"Knecklaces","13018","Necklaces","9732","3","22.00"
"Knecklaces","13018","Necklaces","9733","2","24.00"
"Knecklaces","13018","Necklaces","9734","2","26.00"
"Knecklaces","13018","Necklaces","9735","5","28.00"
"Knecklaces","13018","Necklaces","9736","2","30.00"
"Knecklaces","13018","Necklaces","9737","2","32.00"
"Knecklaces","13018","Necklaces","9738","4","34.00"
"Knecklaces","13018","Necklaces","9739","1","36.00"
"Knecklaces","13018","Necklaces","9740","4","38.00"
"Knecklaces","13018","Necklaces","9741","1","40.00"
"Knecklaces","13018","Necklaces","9742","0","42.00"
"Knecklaces","13018","Necklaces","9743","1","44.00"
"Knecklaces","13018","Necklaces","9744","1","46.00"
"Knecklaces","13018","Necklaces","9745","1","48.00"
"Knecklaces","13018","Necklaces","9746","0","50.00"
"Kbracelets","13019","Bracelets","9747","3","8.00"
"Kbracelets","13019","Bracelets","9748","0","10.00"
"Kbracelets","13019","Bracelets","9749","1","12.00"
"Kbracelets","13019","Bracelets","9750","3","14.00"
"Kbracelets","13019","Bracelets","9751","1","16.00"
"Kbracelets","13019","Bracelets","9752","0","18.00"
"Kbracelets","13019","Bracelets","9753","1","20.00"
"Kbracelets","13019","Bracelets","9754","0","22.00"
"Kbracelets","13019","Bracelets","9755","0","24.00"
"Kbracelets","13019","Bracelets","9756","0","26.00"
"Kbracelets","13019","Bracelets","9757","0","28.00"
"Kbracelets","13019","Bracelets","9758","0","30.00"
"Kbracelets","13019","Bracelets","9759","0","32.00"
"Kbracelets","13019","Bracelets","9760","0","34.00"
"Kbracelets","13019","Bracelets","9761","0","36.00"
"Kbracelets","13019","Bracelets","9762","0","38.00"
