"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Unit price (tax excl.)","Unit price (per)"
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11601","Shoe Size - 12","0","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11602","Shoe Size - 13","2","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11603","Shoe Size - 14","0","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11604","Shoe Size - 15","1","175.00","75.80","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11891","Shoe Size - 7","0","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11892","Shoe Size - 8","0","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11893","Shoe Size - 9","1","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11894","Shoe Size - 10","0","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11895","Shoe Size - 11","1","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11896","Shoe Size - 12","0","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11897","Shoe Size - 13","0","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11898","Shoe Size - 14","0","132.00","57.10","0.00",""
"5100-0800-13-13107CK","15917","Leather Moccasins for Men","11899","Shoe Size - 15","0","132.00","57.10","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11900","Shoe Size - 9","1","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11901","Shoe Size - 10","1","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11902","Shoe Size - 12","1","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11903","Shoe Size - 6","0","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11904","Shoe Size - 7","0","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11905","Shoe Size - 8","0","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11906","Shoe Size - 11","0","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11907","Shoe Size - 13","0","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11908","Shoe Size - 14","0","152.00","65.40","0.00",""
"5000-0870-12-511813CHOBR","15918","Leather Moccasins for Men","11909","Shoe Size - 15","0","152.00","65.40","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12263","Shoe Size - 6","0","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12264","Shoe Size - 7","0","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12265","Shoe Size - 8","0","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12266","Shoe Size - 9","1","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12267","Shoe Size - 10","1","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12268","Shoe Size - 11","1","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12269","Shoe Size - 12","0","155.00","67.30","0.00",""
