"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price","Pre-tax retail price"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6125","Shoe Size - 8","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6126","Shoe Size - 9","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6127","Shoe Size - 10","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6128","Shoe Size - 11","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6129","Shoe Size - 12","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6130","Shoe Size - 13","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6131","Shoe Size - 14","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6132","Shoe Size - 15","0","99.95","43.40","0.00","99.95"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6133","Shoe Size - 6","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6134","Shoe Size - 7","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6135","Shoe Size - 8","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6136","Shoe Size - 9","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6137","Shoe Size - 10","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6138","Shoe Size - 11","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6139","Shoe Size - 12","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6140","Shoe Size - 13","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6141","Shoe Size - 14","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6142","Shoe Size - 15","0","140.00","60.70","0.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6143","Shoe Size - 6","0","140.00","60.70","53.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6144","Shoe Size - 7","0","140.00","60.70","53.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6145","Shoe Size - 8","0","140.00","60.70","53.00","140.00"
