"Product ID","Product Combinations ID","Show price","Pre-tax wholesale price","Pre-tax retail price","Final price (pre-tax)","Retail price with tax","Final price (with-tax)","Quantity"
"4126","","1","2.50","5.50","5.50","6.32","6.32","0"
"4127","","1","10.87","25.00","25.00","28.74","28.74","4"
"4129","7729","1","0.00","0.00","335.00","0.00","385.17","0"
"4129","7730","1","0.00","0.00","335.00","0.00","385.17","0"
"4129","7731","1","0.00","0.00","335.00","0.00","385.17","0"
"4129","7732","1","0.00","0.00","170.00","0.00","195.46","1"
"4144","7789","1","0.00","0.00","425.00","0.00","488.65","0"
"4144","7790","1","0.00","0.00","425.00","0.00","488.65","0"
"4144","7791","1","0.00","0.00","425.00","0.00","488.65","0"
"4144","7792","1","0.00","0.00","325.00","0.00","373.67","0"
"4144","7793","1","0.00","0.00","695.00","0.00","799.08","1"
"4144","7806","1","0.00","0.00","825.00","0.00","948.55","0"
"4144","7807","1","0.00","0.00","825.00","0.00","948.55","0"
"4144","7808","1","0.00","0.00","825.00","0.00","948.55","0"
"4145","7794","1","0.00","0.00","435.00","0.00","500.15","0"
"4145","7795","1","0.00","0.00","435.00","0.00","500.15","0"
"4145","7796","1","0.00","0.00","435.00","0.00","500.15","0"
"4145","7797","1","0.00","0.00","335.00","0.00","385.17","0"
"4146","7798","1","0.00","0.00","395.00","0.00","454.16","0"
"4146","7799","1","0.00","0.00","395.00","0.00","454.16","0"
"4146","7800","1","0.00","0.00","395.00","0.00","454.16","0"
"4146","7801","1","0.00","0.00","295.00","0.00","339.18","1"
"4148","7809","1","0.00","0.00","335.00","0.00","385.17","0"
"4148","7810","1","0.00","0.00","335.00","0.00","385.17","0"
"4148","7811","1","0.00","0.00","335.00","0.00","385.17","0"
"4148","7812","1","0.00","0.00","155.00","0.00","178.21","4"
"4149","7813","1","0.00","0.00","335.00","0.00","385.17","0"
"4149","7814","1","0.00","0.00","335.00","0.00","385.17","0"
"4149","7815","1","0.00","0.00","335.00","0.00","385.17","0"
"4149","7816","1","0.00","0.00","170.00","0.00","195.46","0"
"4150","7817","1","0.00","0.00","335.00","0.00","385.17","0"
"4150","7818","1","0.00","0.00","335.00","0.00","385.17","0"
"4150","7819","1","0.00","0.00","335.00","0.00","385.17","0"
"4150","7820","1","0.00","0.00","170.00","0.00","195.46","2"
"4156","","1","2.75","6.35","6.35","7.30","7.30","13"
"4157","","1","2.75","6.35","6.35","7.30","7.30","7"
"4169","","1","10.87","25.00","25.00","28.74","28.74","0"
"4170","","1","10.87","25.00","25.00","28.74","28.74","4"
"4171","","1","10.87","25.00","25.00","28.74","28.74","0"
"4173","","1","10.87","25.00","25.00","28.74","28.74","2"
"4174","","1","10.87","25.00","25.00","28.74","28.74","0"
"5389","","1","2.50","5.50","5.50","6.32","6.32","162"
"7977","12346","1","1.25","2.90","2.90","3.33","3.33","0"
"7977","12347","1","1.25","2.90","2.90","3.33","3.33","9"
